II,V,VII,VIII,IX,X,XI,XII,AT,PC,TFPI,Lagtime,Peak,T.Peak,Max,AUC
1423.1531946976888,26.535058515366053,17.973621744987838,2.1258513854223064,138.1087082668111,207.45416531211248,14.308843755246913,20.22908959233628,3435.8063482480047,68.01265820455573,1.9810989661994762,2.754006163084179,281.60769488180546,5.785699538007801,93.93570883171019,1577.7800905176782
1367.0534808439313,17.077787886529244,10.868532090697167,0.09125844993255422,87.24818998764592,153.72057173231133,4.064410007715406,5.652006793846231,3055.988695981834,75.78470127041251,1.3143425612437767,2.7037576091201756,320.0701436719667,5.5043846636869045,113.6907751429935,1935.638894954528
1121.8785872843646,10.807483266303699,7.021336962261221,0.0,101.99063016307096,79.25519752918701,8.838314568280591,7.863829327413805,3385.562404659327,116.80795099174951,1.556877174888832,2.706681987910945,264.3789445785004,5.777520866085956,95.75920462442015,1611.634094000225
1801.8931191511047,22.167195264870596,20.4635122020249,1.517180070196386,159.82240304964387,224.509322142203,10.13398545495458,15.330386297871335,3599.251670889443,72.21614387209553,1.5231476128330004,3.3095592508358798,289.84196793620055,7.484885313308842,90.96124063878662,1990.6701991867337
1320.4181486457499,16.9856577815698,4.321850671616771,0.6398343629534139,82.76224447571505,161.68243537613205,5.11839151606566,16.312996299365462,2796.5207712988713,58.5526842689251,1.5386458210415344,2.7928955502976627,319.80790391446396,6.749507116420135,114.17230136540324,2165.7366853562708
983.2815988562259,15.166820697308847,6.9613364105530815,0.8815826416547878,65.06609712229267,119.15505242547138,7.134928251313568,12.132707012959642,2507.64942823737,62.385043070175925,1.2849905247371403,2.727610129014858,297.22661070094495,5.066880276640175,120.7979310498231,1526.4835619872044
1143.3174416319034,10.659971156295702,4.516522161551829,0.10707086468211494,91.03399580011356,128.73601846734493,10.048769990133664,8.945648580530667,3297.9935009697065,68.81849799324424,1.34616556181786,3.260957679713002,188.55016460754638,7.854664471950125,54.015046408785516,1226.9690354949794
1412.2686509669306,22.103481753984333,11.892450551926308,0.35154090589138665,87.24849275028356,150.03765237949005,7.173861917711379,4.998583269370992,2944.816785005399,92.9669440095412,1.128976314593452,3.809611046295027,239.74730362144115,7.102465792010062,77.97580107564426,1568.0510775721566
1452.9542213041275,18.573051230786383,8.327271299099305,0.6959997698841526,86.12630600463095,184.36932755844072,2.8975096044821695,9.530212321425923,3103.6308200150506,83.86980247212067,1.4132627207198896,2.2499255846333583,269.8878163422412,6.1846110794071905,73.89187954692363,1999.7357327286197
1304.312028322844,16.29229447121793,13.67164396725607,1.4138658486449545,119.22219273494201,152.4220654426562,10.5851055274262,17.039708518800587,2932.724231934164,63.19353017259048,1.9134369889580876,2.9619041977028915,314.4976846089533,5.928197897400968,105.5917728496287,1782.1937829295318
1361.5810851125884,19.595472421761396,11.138843892361338,1.7221437827591288,134.05348088447326,196.96273444550488,12.03527579619157,19.346514538412947,3383.822644350035,60.383308315699175,1.4503508950300585,3.171013903254489,351.43261273949344,5.881902936454585,124.25121159877742,1932.0472605887003
1533.3285221940623,23.628871057884062,15.39646327934036,1.4367919136776939,118.35868111637875,187.61411356386935,11.594436448756554,18.317593358143284,3382.9011938591307,74.34868144436122,2.1428692535543785,4.170453298605766,226.57809776115235,9.015645646445789,36.374669090214525,1823.1037787732494
1288.6351963627142,13.658621878854076,7.509461557924607,0.4534636918183851,71.1161812675626,136.05717191711108,4.027107039785427,11.933954401766506,2822.508732356046,71.31643330530974,2.0760052422632542,3.340742788941852,267.6871035159023,7.23654859008562,76.0563010023596,1956.0082537049698
1834.3273019482153,14.099808950413069,15.53816358422766,1.1678645806767673,147.56466978234795,201.79003147352842,8.915597463251316,16.252221426167516,3424.7732449875843,72.71285326299318,1.9218229088439065,3.5178092021343534,385.5104123689443,6.940000179829889,136.56699662628887,2471.697264036708
1214.7115915808479,23.11232084290019,12.581774252596771,1.4098122955601735,106.5975213431169,146.8873791528457,10.531940774932515,12.23210334043889,3095.668621105557,82.39725770905005,1.6628206276094049,2.9378696098993653,330.74805328070755,5.0351601134972555,133.49238123726857,1719.9135440251446
1418.9219629338968,18.476390951890163,11.018467811083703,1.4404749215198804,146.01955671547984,193.3345840722697,9.408605850233522,16.287270453736593,3096.2119714079645,70.64377112113915,1.4050507777788828,3.625343823506199,333.5306015122457,7.085165184213555,130.1741492567706,2114.9502194413044
1358.488956409241,16.170149432723324,7.664831904862353,0.364742217631175,75.73523743834495,150.06901657942657,0.748307253960182,10.907517110586209,2435.4530441292945,67.5251771885457,1.3212439478219062,3.459279374504715,295.10954973573206,6.3492227949460105,89.28951339621858,2149.6018013897374
1460.50560253768,16.525752908783012,16.3213026919142,1.069331616174139,129.29865241797265,179.3691444948538,6.593359687693098,15.863731307615232,3075.4612429986364,73.68978251504679,1.4146214658959706,3.4927068742949516,297.88362814817225,6.58272097459175,103.33414403875064,1865.992852146335
1722.9649876494848,16.19745137144447,15.801180736668526,0.8683175464892392,110.63529881215631,201.91487244543765,5.367666072760711,19.416927717075552,2683.961433283828,71.46965580662037,2.220373438323045,3.599002884727984,530.1038580732734,4.643078660083781,224.83595136799488,2906.486977302292
